Glucose_Volume,Water_Volume,Culture_Volume,Col,Row,Glucose_Solution_Conc,Glucose_Added,Final_Glucose_Conc,MaxOD
3.4,1.6,5,1,6,0.025,0.085,0.0034,0.486
4.1,0.9,5,2,6,0.025,0.1025,0.0041,0.488
3.2,1.8,5,3,6,0.025,0.08,0.0032,0.436
1.3,3.7,5,4,6,0.025,0.0325,0.0013,0.253
2.6,2.4,5,5,6,0.025,0.065,0.0026,0.413
1.2,3.8,5,6,6,0.025,0.03,0.0012,0.255
4.6,0.4,5,7,6,0.025,0.115,0.0046,0.572
0,5,5,8,6,0.025,0,0,0.252
0.5,4.5,5,9,6,0.025,0.0125,0.0005,0.296
2,3,5,10,6,0.025,0.05,0.002,0.465
5,0,5,11,6,0.025,0.125,0.005,0.581
3.4,1.6,5,12,6,0.025,0.085,0.0034,0.681
0,5,5,13,6,0.025,0,0,0.272
4.3,0.7,5,14,6,0.025,0.1075,0.0043,0.401
2.5,2.5,5,15,6,0.025,0.0625,0.0025,0.545
2.8,2.2,5,16,6,0.025,0.07,0.0028,0.574
4.7,0.3,5,17,6,0.025,0.1175,0.0047,0.668
1.9,3.1,5,18,6,0.025,0.0475,0.0019,0.508
3.5,1.5,5,19,6,0.025,0.0875,0.0035,0.612
3.1,1.9,5,20,6,0.025,0.0775,0.0031,0.63
2.1,2.9,5,21,6,0.025,0.0525,0.0021,0.523
0.4,4.6,5,22,6,0.025,0.01,0.0004,0.151
2.9,2.1,5,23,6,0.025,0.0725,0.0029,0.451
3.8,1.2,5,24,6,0.025,0.095,0.0038,0.518
1,4,5,1,7,0.025,0.025,0.001,0.216
4,1,5,2,7,0.025,0.1,0.004,0.471
4.3,0.7,5,3,7,0.025,0.1075,0.0043,0.479
2.5,2.5,5,4,7,0.025,0.0625,0.0025,0.405
2.8,2.2,5,5,7,0.025,0.07,0.0028,0.422
5,0,5,6,7,0.025,0.125,0.005,0.489
0.1,4.9,5,7,7,0.025,0.0025,0.0001,0.268
3.5,1.5,5,8,7,0.025,0.0875,0.0035,0.542
3.1,1.9,5,9,7,0.025,0.0775,0.0031,0.604
1.6,3.4,5,10,7,0.025,0.04,0.0016,0.484
0.4,4.6,5,11,7,0.025,0.01,0.0004,0.31
1,4,5,12,7,0.025,0.025,0.001,0.424
3.8,1.2,5,13,7,0.025,0.095,0.0038,0.608
1.2,3.8,5,14,7,0.025,0.03,0.0012,0.428
3,2,5,15,7,0.025,0.075,0.003,0.568
1.5,3.5,5,16,7,0.025,0.0375,0.0015,0.477
2.4,2.6,5,17,7,0.025,0.06,0.0024,0.564
0.9,4.1,5,18,7,0.025,0.0225,0.0009,0.422
1.7,3.3,5,19,7,0.025,0.0425,0.0017,0.505
5,0,5,20,7,0.025,0.125,0.005,0.627
4.5,0.5,5,21,7,0.025,0.1125,0.0045,0.611
3.9,1.1,5,22,7,0.025,0.0975,0.0039,0.513
0,5,5,23,7,0.025,0,0,0.097
3.6,1.4,5,24,7,0.025,0.09,0.0036,0.495
5,0,5,1,8,0.025,0.125,0.005,0.487
3.8,1.2,5,2,8,0.025,0.095,0.0038,0.456
1.2,3.8,5,3,8,0.025,0.03,0.0012,0.235
3,2,5,4,8,0.025,0.075,0.003,0.422
1.5,3.5,5,5,8,0.025,0.0375,0.0015,0.278
4.7,0.3,5,6,8,0.025,0.1175,0.0047,0.521
1.9,3.1,5,7,8,0.025,0.0475,0.0019,0.416
1.7,3.3,5,8,8,0.025,0.0425,0.0017,0.425
2.3,2.7,5,9,8,0.025,0.0575,0.0023,0.535
4.6,0.4,5,10,8,0.025,0.115,0.0046,0.621
3.9,1.1,5,11,8,0.025,0.0975,0.0039,0.598
2.9,2.1,5,12,8,0.025,0.0725,0.0029,0.602
3.6,1.4,5,13,8,0.025,0.09,0.0036,0.705
0.7,4.3,5,14,8,0.025,0.0175,0.0007,0.307
0,5,5,15,8,0.025,0,0,0.269
3.3,1.7,5,16,8,0.025,0.0825,0.0033,0.585
0.3,4.7,5,17,8,0.025,0.0075,0.0003,0.292
0,5,5,18,8,0.025,0,0,0.286
2.2,2.8,5,19,8,0.025,0.055,0.0022,0.567
2.3,2.7,5,20,8,0.025,0.0575,0.0023,0.569
3.2,1.8,5,21,8,0.025,0.08,0.0032,0.547
0.6,4.4,5,22,8,0.025,0.015,0.0006,0.16
4.9,0.1,5,23,8,0.025,0.1225,0.0049,0.542
1.4,3.6,5,24,8,0.025,0.035,0.0014,0.305
2.9,2.1,5,1,9,0.025,0.0725,0.0029,0.428
3.6,1.4,5,2,9,0.025,0.09,0.0036,0.474
0.7,4.3,5,3,9,0.025,0.0175,0.0007,0.168
0.2,4.8,5,4,9,0.025,0.005,0.0002,0.123
3.3,1.7,5,5,9,0.025,0.0825,0.0033,0.435
0,5,5,6,9,0.025,0,0,0.186
0.9,4.1,5,7,9,0.025,0.0225,0.0009,0.328
2.2,2.8,5,8,9,0.025,0.055,0.0022,0.489
3.7,1.3,5,9,9,0.025,0.0925,0.0037,0.553
0,5,5,10,9,0.025,0,0,0.306
0.6,4.4,5,11,9,0.025,0.015,0.0006,0.302
4.9,0.1,5,12,9,0.025,0.1225,0.0049,0.675
1.4,3.6,5,13,9,0.025,0.035,0.0014,0.457
4.8,0.2,5,14,9,0.025,0.12,0.0048,0.611
0.2,4.8,5,15,9,0.025,0.005,0.0002,0.275
2.7,2.3,5,16,9,0.025,0.0675,0.0027,0.55
2,3,5,17,9,0.025,0.05,0.002,0.49
5,0,5,18,9,0.025,0.125,0.005,0.527
1.8,3.2,5,19,9,0.025,0.045,0.0018,0.504
3.7,1.3,5,20,9,0.025,0.0925,0.0037,0.593
4.3,0.7,5,21,9,0.025,0.1075,0.0043,0.6
1.3,3.7,5,22,9,0.025,0.0325,0.0013,0.288
2.6,2.4,5,23,9,0.025,0.065,0.0026,0.414
4.4,0.6,5,24,9,0.025,0.11,0.0044,0.506
0,5,5,1,10,0.025,0,0,0.101
1.4,3.6,5,2,10,0.025,0.035,0.0014,0.276
4.8,0.2,5,3,10,0.025,0.12,0.0048,0.475
1.1,3.9,5,4,10,0.025,0.0275,0.0011,0.229
5,0,5,5,10,0.025,0.125,0.005,0.466
2.4,2.6,5,6,10,0.025,0.06,0.0024,0.431
4.2,0.8,5,7,10,0.025,0.105,0.0042,0.544
1.8,3.2,5,8,10,0.025,0.045,0.0018,0.497
4.1,0.9,5,9,10,0.025,0.1025,0.0041,0.617
4.5,0.5,5,10,10,0.025,0.1125,0.0045,0.656
1.3,3.7,5,11,10,0.025,0.0325,0.0013,0.414
2.6,2.4,5,12,10,0.025,0.065,0.0026,0.512
4.4,0.6,5,13,10,0.025,0.11,0.0044,0.644
4.6,0.4,5,14,10,0.025,0.115,0.0046,0.577
1.1,3.9,5,15,10,0.025,0.0275,0.0011,0.427
0.5,4.5,5,16,10,0.025,0.0125,0.0005,0.293
1.6,3.4,5,17,10,0.025,0.04,0.0016,0.458
4.2,0.8,5,18,10,0.025,0.105,0.0042,0.562
3.4,1.6,5,19,10,0.025,0.085,0.0034,0.587
4.1,0.9,5,20,10,0.025,0.1025,0.0041,0.592
1.2,3.8,5,21,10,0.025,0.03,0.0012,0.408
2.5,2.5,5,22,10,0.025,0.0625,0.0025,0.408
2.8,2.2,5,23,10,0.025,0.07,0.0028,0.433
5,0,5,24,10,0.025,0.125,0.005,0.494
4.9,0.1,5,1,11,0.025,0.1225,0.0049,0.473
4.4,0.6,5,2,11,0.025,0.11,0.0044,0.496
4.6,0.4,5,3,11,0.025,0.115,0.0046,0.501
0.8,4.2,5,4,11,0.025,0.02,0.0008,0.19
2.7,2.3,5,5,11,0.025,0.0675,0.0027,0.422
0.3,4.7,5,6,11,0.025,0.0075,0.0003,0.135
2.1,2.9,5,7,11,0.025,0.0525,0.0021,0.406
3.4,1.6,5,8,11,0.025,0.085,0.0034,0.529
4,1,5,9,11,0.025,0.1,0.004,0.575
3.2,1.8,5,10,11,0.025,0.08,0.0032,0.532
0,5,5,11,11,0.025,0,0,0.261
2.8,2.2,5,12,11,0.025,0.07,0.0028,0.577
5,0,5,13,11,0.025,0.125,0.005,0.573
0.1,4.9,5,14,11,0.025,0.0025,0.0001,0.303
0.8,4.2,5,15,11,0.025,0.02,0.0008,0.393
3.1,1.9,5,16,11,0.025,0.0775,0.0031,0.545
1.9,3.1,5,17,11,0.025,0.0475,0.0019,0.456
2.1,2.9,5,18,11,0.025,0.0525,0.0021,0.455
0,5,5,19,11,0.025,0,0,0.237
4,1,5,20,11,0.025,0.1,0.004,0.572
0.7,4.3,5,21,11,0.025,0.0175,0.0007,0.245
3,2,5,22,11,0.025,0.075,0.003,0.456
1.5,3.5,5,23,11,0.025,0.0375,0.0015,0.32
4.5,0.5,5,24,11,0.025,0.1125,0.0045,0.512
2.6,2.4,5,1,12,0.025,0.065,0.0026,0.408
3.2,1.8,5,2,12,0.025,0.08,0.0032,0.447
0.1,4.9,5,3,12,0.025,0.0025,0.0001,0.112
3.5,1.5,5,4,12,0.025,0.0875,0.0035,0.437
0.5,4.5,5,5,12,0.025,0.0125,0.0005,0.154
2,3,5,6,12,0.025,0.05,0.002,0.341
0.4,4.6,5,7,12,0.025,0.01,0.0004,0.143
5,0,5,8,12,0.025,0.125,0.005,0.433
3.8,1.2,5,9,12,0.025,0.095,0.0038,0.456
4.3,0.7,5,10,12,0.025,0.1075,0.0043,0.497
2.5,2.5,5,11,12,0.025,0.0625,0.0025,0.451
1.5,3.5,5,12,12,0.025,0.0375,0.0015,0.337
0.1,4.9,5,13,12,0.025,0.0025,0.0001,0.243
1.9,3.1,5,14,12,0.025,0.0475,0.0019,0.38
3.5,1.5,5,15,12,0.025,0.0875,0.0035,0.504
5,0,5,16,12,0.025,0.125,0.005,0.501
4.5,0.5,5,17,12,0.025,0.1125,0.0045,0.529
0.4,4.6,5,18,12,0.025,0.01,0.0004,0.241
1,4,5,19,12,0.025,0.025,0.001,0.331
3.8,1.2,5,20,12,0.025,0.095,0.0038,0.506
4.8,0.2,5,21,12,0.025,0.12,0.0048,0.485
0,5,5,22,12,0.025,0,0,0.097
3.3,1.7,5,23,12,0.025,0.0825,0.0033,0.459
4.7,0.3,5,24,12,0.025,0.1175,0.0047,0.503
2.8,2.2,5,1,13,0.025,0.07,0.0028,0.435
4.7,0.3,5,2,13,0.025,0.1175,0.0047,0.493
5,0,5,3,13,0.025,0.125,0.005,0.476
1.7,3.3,5,4,13,0.025,0.0425,0.0017,0.31
3.1,1.9,5,5,13,0.025,0.0775,0.0031,0.435
1.6,3.4,5,6,13,0.025,0.04,0.0016,0.29
3.9,1.1,5,7,13,0.025,0.0975,0.0039,0.431
1,4,5,8,13,0.025,0.025,0.001,0.21
0,5,5,9,13,0.025,0,0,0.097
1.2,3.8,5,10,13,0.025,0.03,0.0012,0.239
3,2,5,11,13,0.025,0.075,0.003,0.42
3.3,1.7,5,12,13,0.025,0.0825,0.0033,0.424
4.7,0.3,5,13,13,0.025,0.1175,0.0047,0.446
0,5,5,14,13,0.025,0,0,0.109
1.7,3.3,5,15,13,0.025,0.0425,0.0017,0.308
2.3,2.7,5,16,13,0.025,0.0575,0.0023,0.368
3.2,1.8,5,17,13,0.025,0.08,0.0032,0.419
3.9,1.1,5,18,13,0.025,0.0975,0.0039,0.449
2.9,2.1,5,19,13,0.025,0.0725,0.0029,0.438
3.6,1.4,5,20,13,0.025,0.09,0.0036,0.459
4.6,0.4,5,21,13,0.025,0.115,0.0046,0.488
0.2,4.8,5,22,13,0.025,0.005,0.0002,0.129
2.7,2.3,5,23,13,0.025,0.0675,0.0027,0.424
2.4,2.6,5,24,13,0.025,0.06,0.0024,0.417
1.5,3.5,5,1,14,0.025,0.0375,0.0015,0.292
2.4,2.6,5,2,14,0.025,0.06,0.0024,0.405
1.9,3.1,5,3,14,0.025,0.0475,0.0019,0.344
2.2,2.8,5,4,14,0.025,0.055,0.0022,0.38
2.3,2.7,5,5,14,0.025,0.0575,0.0023,0.396
0.7,4.3,5,6,14,0.025,0.0175,0.0007,0.173
0.6,4.4,5,7,14,0.025,0.015,0.0006,0.159
2.9,2.1,5,8,14,0.025,0.0725,0.0029,0.411
3.6,1.4,5,9,14,0.025,0.09,0.0036,0.43
0.7,4.3,5,10,14,0.025,0.0175,0.0007,0.177
0.2,4.8,5,11,14,0.025,0.005,0.0002,0.127
2.7,2.3,5,12,14,0.025,0.0675,0.0027,0.42
2.4,2.6,5,13,14,0.025,0.06,0.0024,0.392
0.9,4.1,5,14,14,0.025,0.0225,0.0009,0.175
2.2,2.8,5,15,14,0.025,0.055,0.0022,0.362
3.7,1.3,5,16,14,0.025,0.0925,0.0037,0.453
0,5,5,17,14,0.025,0,0,0.096
0.6,4.4,5,18,14,0.025,0.015,0.0006,0.159
4.9,0.1,5,19,14,0.025,0.1225,0.0049,0.478
1.4,3.6,5,20,14,0.025,0.035,0.0014,0.292
5,0,5,21,14,0.025,0.125,0.005,0.486
1.1,3.9,5,22,14,0.025,0.0275,0.0011,0.229
0.5,4.5,5,23,14,0.025,0.0125,0.0005,0.145
0.3,4.7,5,24,14,0.025,0.0075,0.0003,0.133
3.3,1.7,5,1,15,0.025,0.0825,0.0033,0.46
0.3,4.7,5,2,15,0.025,0.0075,0.0003,0.135
0.9,4.1,5,3,15,0.025,0.0225,0.0009,0.206
0,5,5,4,15,0.025,0,0,0.106
3.7,1.3,5,5,15,0.025,0.0925,0.0037,0.46
4.5,0.5,5,6,15,0.025,0.1125,0.0045,0.484
5,0,5,7,15,0.025,0.125,0.005,0.465
4.9,0.1,5,8,15,0.025,0.1225,0.0049,0.467
1.4,3.6,5,9,15,0.025,0.035,0.0014,0.277
4.8,0.2,5,10,15,0.025,0.12,0.0048,0.477
1.1,3.9,5,11,15,0.025,0.0275,0.0011,0.231
0.5,4.5,5,12,15,0.025,0.0125,0.0005,0.155
0.3,4.7,5,13,15,0.025,0.0075,0.0003,0.134
4.2,0.8,5,14,15,0.025,0.105,0.0042,0.479
1.8,3.2,5,15,15,0.025,0.045,0.0018,0.325
4.1,0.9,5,16,15,0.025,0.1025,0.0041,0.474
5,0,5,17,15,0.025,0.125,0.005,0.466
1.3,3.7,5,18,15,0.025,0.0325,0.0013,0.265
2.6,2.4,5,19,15,0.025,0.065,0.0026,0.415
4.4,0.6,5,20,15,0.025,0.11,0.0044,0.51
0.1,4.9,5,21,15,0.025,0.0025,0.0001,0.109
0.8,4.2,5,22,15,0.025,0.02,0.0008,0.175
3.1,1.9,5,23,15,0.025,0.0775,0.0031,0.455
2,3,5,24,15,0.025,0.05,0.002,0.395
2.7,2.3,5,1,16,0.025,0.0675,0.0027,0.407
0,5,5,2,16,0.025,0,0,0.098
4.2,0.8,5,3,16,0.025,0.105,0.0042,0.505
1.8,3.2,5,4,16,0.025,0.045,0.0018,0.318
4.1,0.9,5,5,16,0.025,0.1025,0.0041,0.528
3.2,1.8,5,6,16,0.025,0.08,0.0032,0.46
1.3,3.7,5,7,16,0.025,0.0325,0.0013,0.25
2.6,2.4,5,8,16,0.025,0.065,0.0026,0.412
4.4,0.6,5,9,16,0.025,0.11,0.0044,0.493
4.6,0.4,5,10,16,0.025,0.115,0.0046,0.498
0.8,4.2,5,11,16,0.025,0.02,0.0008,0.188
5,0,5,12,16,0.025,0.125,0.005,0.596
2,3,5,13,16,0.025,0.05,0.002,0.39
2.1,2.9,5,14,16,0.025,0.0525,0.0021,0.27
3.4,1.6,5,15,16,0.025,0.085,0.0034,0.459
4,1,5,16,16,0.025,0.1,0.004,0.488
4.3,0.7,5,17,16,0.025,0.1075,0.0043,0.491
2.5,2.5,5,18,16,0.025,0.0625,0.0025,0.421
2.8,2.2,5,19,16,0.025,0.07,0.0028,0.442
4.2,0.8,5,20,16,0.025,0.105,0.0042,0.516
0,5,5,21,16,0.025,0,0,0.095
3.5,1.5,5,22,16,0.025,0.0875,0.0035,0.484
5,0,5,23,16,0.025,0.125,0.005,0.49
1.6,3.4,5,24,16,0.025,0.04,0.0016,0.358
